MG,Africa,0.085,,,,
MG,Americas,0.055,,,,
MG,Asia,0.095,,,,
MG,Europe,0.065,,,,
MG,Oceania,0.075,,,,
WU,Africa,0.075,,,,
WU,Americas,0.045,,,,
WU,Asia,0.085,,,,
WU,Europe,0.07,,,,
WU,Oceania,0.07,,,,
RIA,Africa,0.075,,,,
RIA,Americas,0.04,,,,
RIA,Asia,0.082,,,,
RIA,Europe,0.075,,,,
RIA,Oceania,0.066,,,,
TF,Africa,0.076,,,,
TF,Americas,0.055,,,,
TF,Asia,0.06,,,,
TF,Europe,0.03,,,,
TF,Oceania,0.035,,,,
TFW,Africa,0.077,,,,
TFW,Americas,0.08,,,,
TFW,Asia,0.93,,,,
TFW,Europe,0.03,,,,
TFW,Oceania,0.035,,,,
XM,Africa,0.092,,,,
XM,Americas,0.055,,,,
XM,Asia,0.089,,,,
XM,Europe,0.04,,,,
XM,Oceania,0.045,,,,
